breed,Q121,Q125,Q127,Q124,Q54,Q123,Q60,Q17,frac_of_breed,img
mixed breed,any,any,any,positive,negative,any,any,negative,0.009540847,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,any,negative,any,0.009143311,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,any,negative,negative,0.00417412,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,any,positive,any,0.002385212,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,any,positive,negative,0.001192606,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,negative,any,any,0.002782747,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,negative,any,negative,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,negative,negative,any,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,negative,negative,negative,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,negative,positive,any,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,positive,any,any,0.008348241,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,positive,any,negative,0.00337905,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,positive,negative,any,0.003180282,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,positive,negative,negative,0.001192606,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,positive,positive,any,0.000993838,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,positive,positive,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,any,any,any,0.00417412,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,any,any,negative,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,any,negative,any,0.001987676,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,any,negative,negative,0.000993838,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,any,positive,any,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,any,positive,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,negative,any,any,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,negative,any,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,negative,negative,any,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,negative,negative,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,positive,any,any,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,positive,any,negative,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,positive,negative,any,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,positive,negative,negative,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,positive,positive,any,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,positive,positive,positive,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,any,any,any,0.355197774,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,any,any,negative,0.147088054,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,any,any,positive,0.003180282,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,any,negative,any,0.129795269,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,any,negative,negative,0.055257404,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,any,negative,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,any,positive,any,0.083482409,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,any,positive,negative,0.032796661,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,any,positive,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,negative,any,any,0.048300537,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,negative,any,negative,0.02186444,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,negative,any,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,negative,negative,any,0.022063208,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,negative,negative,negative,0.009143311,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,negative,positive,any,0.008745776,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,negative,positive,negative,0.00337905,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,positive,any,any,0.161995627,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,positive,any,negative,0.064997018,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,positive,any,positive,0.001590141,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,positive,negative,any,0.054859869,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,positive,negative,negative,0.023057046,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,positive,negative,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,positive,positive,any,0.045716557,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,positive,positive,negative,0.017491552,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,any,positive,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,any,any,any,0.164977142,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,any,any,negative,0.068376068,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,any,any,positive,0.001788909,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,any,negative,any,0.06062413,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,any,negative,negative,0.024249652,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,any,negative,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,any,positive,any,0.033790499,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,any,positive,negative,0.0135162,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,any,positive,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,negative,any,any,0.022460743,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,negative,any,negative,0.010534685,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,negative,any,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,negative,negative,any,0.01013715,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,negative,negative,negative,0.003776585,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,negative,positive,any,0.00337905,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,negative,positive,negative,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,positive,any,any,0.07751938,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,positive,any,negative,0.029815146,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,positive,any,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,positive,negative,any,0.027231167,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,positive,negative,negative,0.010534685,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,positive,negative,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,positive,positive,any,0.019081694,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,negative,positive,positive,negative,0.006559332,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,any,any,any,0.033194196,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,any,any,negative,0.012721129,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,any,any,positive,0.000993838,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,any,negative,any,0.013714967,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,any,negative,negative,0.005167959,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,any,negative,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,any,positive,any,0.004969191,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,any,positive,negative,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,negative,any,any,0.003776585,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,negative,any,negative,0.002385212,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,negative,negative,any,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,negative,negative,negative,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,negative,positive,any,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,negative,positive,negative,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,positive,any,any,0.014510038,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,positive,any,negative,0.004372888,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,positive,any,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,positive,negative,any,0.006559332,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,positive,negative,negative,0.001987676,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,positive,negative,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,positive,positive,any,0.002385212,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,any,positive,positive,positive,negative,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,any,any,any,0.121248261,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,any,any,negative,0.051083284,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,any,any,positive,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,any,negative,any,0.047704234,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,any,negative,negative,0.02106937,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,any,negative,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,any,positive,any,0.024845955,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,any,positive,negative,0.009540847,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,any,positive,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,negative,any,any,0.018684158,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,negative,any,negative,0.008547009,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,negative,negative,any,0.008149473,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,negative,negative,negative,0.002782747,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,negative,positive,any,0.002583979,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,negative,positive,negative,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,positive,any,any,0.054462334,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,positive,any,negative,0.022063208,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,positive,any,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,positive,negative,any,0.019479229,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,positive,negative,negative,0.008745776,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,positive,negative,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,positive,positive,any,0.014510038,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,any,positive,positive,negative,0.005764262,./img/breeds/mixed_breed.png
mixed breed,any,any,negative,negative,negative,any,any,any,0.057841383,./img/breeds/mixed_breed.png
